old_tag,count,action,assignments,note
cuento en verso,9,map,forma:verso,
cochino,8,map,personajes:cerdo,
muerte,7,map,temas:muerte,
ilustración poética,6,discard,,"atributo editorial / metadata, no es etiqueta de contenido"
hombre,5,discard,,humano genérico = implícito (no se etiqueta)
asno,5,map,personajes:burro,
perro,4,map,personajes:perro,
poder,4,map,temas:poder,
animal,4,discard,,demasiado genérico; el personaje específico ya cubre
naturaleza,4,map,temas:naturaleza,
loro,3,map,personajes:loro,
rey,3,map,personajes:rey,
guerra,3,map,temas:guerra,
marrano,3,map,personajes:cerdo,
deco,3,discard,,"atributo editorial / metadata, no es etiqueta de contenido"
arte,3,discard,,"atributo editorial / metadata, no es etiqueta de contenido"
clasico,3,discard,,"atributo editorial / metadata, no es etiqueta de contenido"
ilustracion,3,discard,,"atributo editorial / metadata, no es etiqueta de contenido"
comer,3,discard,,verbo / acción; no es etiqueta de tema
malo,3,map,temas:maldad,
maldad,3,map,temas:maldad,
ratón,3,map,personajes:raton,
león,3,map,personajes:leon,
caballo,3,map,personajes:caballo,
burro,3,map,personajes:burro,
camino,3,discard,,lugar / elemento natural / setting
ciervo,3,map,personajes:ciervo,
oso,3,map,personajes:oso,
disfraz,3,discard,,objeto del relato; no es etiqueta de tema
desconocido,3,discard,,"metadata de autor, ya cubierto por el campo 'autor'"
matar,3,discard,,verbo / acción; no es etiqueta de tema
anónimo,3,discard,,"metadata de autor, ya cubierto por el campo 'autor'"
hambre,3,map,temas:hambre,
zorro,3,map,personajes:zorro,
gallina,3,map,personajes:gallina,
budismo,3,map,tradicion:budista,
moraleja ilustrada,2,discard,,"atributo editorial / metadata, no es etiqueta de contenido"
palo,2,discard,,objeto / parte del cuerpo del relato; no es etiqueta de tema
engaño,2,map,temas:engano,
amigo,2,map,temas:amistad,
crítica social,2,map,temas:critica-social,
pobre,2,map,personajes:pobre,
higos,2,discard,,objeto / parte del cuerpo del relato; no es etiqueta de tema
pez,2,map,personajes:pez,
talmud,2,map,tradicion:talmudica,
judío,2,map,tradicion:talmudica,
