"Count","Name"
"9","cuento en verso"
"8","cochino"
"7","muerte"
"6","ilustración poética"
"5","hombre"
"5","asno"
"4","perro"
"4","poder"
"4","animal"
"4","naturaleza"
"3","loro"
"3","rey"
"3","guerra"
"3","marrano"
"3","deco"
"3","arte"
"3","clasico"
"3","ilustracion"
"3","comer"
"3","malo"
"3","maldad"
"3","ratón"
"3","león"
"3","caballo"
"3","burro"
"3","camino"
"3","ciervo"
"3","oso"
"3","disfraz"
"3","desconocido"
"3","matar"
"3","anónimo"
"3","hambre"
"3","zorro"
"3","gallina"
"3","budismo"
"2","moraleja ilustrada"
"2","palo"
"2","engaño"
"2","amigo"
"2","crítica social"
"2","pobre"
"2","higos"
"2","pez"
"2","talmud"
"2","judío"
"2","higo"
"2","patas"
"2","higuera"
"2","avaricia"
"2","ambición"
"2","sancocho"
"2","pollo"
"2","pozo"
"2","cambio"
"2","zorra"
"2","lobo"
"2","astucia"
"2","trampa y deseo"
"2","cuento corto"
"2","golosa tragedia"
"2","la codorniz"
"2","ave cautiva"
"2","hijo"
"2","poderoso"
"2","amigos"
"2","abogado"
"2","amistad"
"2","tortuga"
"2","queso"
"2","crítica moral"
"2","trampa"
"2","prudencia"
"2","venganza"
"2","riqueza"
"2","cazador"
"2","pleito"
"2","hablar"
"2","príncipe"
"2","silla"
"2","justicia"
"1","jupiter"
"1","deber"
"1","cobarde"
"1","pereza"
"1","cobardía"
"1","retiro"
"1","conejo"
"1","podenco"
"1","galgo"
"1","cojo"
"1","esfuerzo"
"1","zeus"
"1","camello"
"1","corredor"
"1","conejos"
"1","cisne"
"1","pecho"
"1","aprendizaje"
"1","ironia"
"1","critica"
"1","cigarra"
"1","santillana"
"1","chisme y engaño"
"1","alacena"
"1","trabajo"
"1","invierno"
"1","trabajar"
"1","hormiga"
"1","cantar"
"1","virtud"
"1","siglo xviii"
"1","bueno"
"1","abandono"
"1","miserable"
"1","jumento"
"1","amistad falsa"
"1","peste"
"1","gata astuta"
"1","águila y jabalina"
"1","can"
"1","chiquero"
"1","sordera"
"1","orejas"
"1","sordo"
"1","piernas"
"1","ingrato"
"1","gallinita"
"1","flaco"
"1","robusto"
"1","ojos"
"1","leñazo"
"1","robar"
"1","cinismo"
"1","nogal"
"1","suicidio"
"1","pelea"
"1","fuerza"
"1","idea"
"1","toro"
"1","manos"
"1","fiesta"
"1","ciego"
"1","ardita"
"1","ardilla"
"1","zarigüeya"
"1","cola"
"1","trompa"
"1","júpiter"
"1","elefante"
"1","cochinos"
"1","elegante"
"1","guardián"
"1","vaso"
"1","agua"
"1","ahogado"
"1","avispa"
"1","ahogada"
"1","furia"
"1","rabipelado"
"1","brava"
"1","guardianes"
"1","ira"
"1","onza"
"1","la zorra y el busto"
"1","prudentes"
